Trait,Total_HRLD,Positive_HRLD,Negative_HRLD,Mixed_HRLD,Total_HRHD,Positive_HRHD,Negative_HRHD,Mixed_HRHD,Total_LRLD,Positive_LRLD,Negative_LRLD,Mixed_LRLD,Total_LRHD,Positive_LRHD,Negative_LRHD,Mixed_LRHD
Nitrogen uptake,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Root biomass,9,8,1,0,4,2,0,2,4,2,0,2,5,3,0,2
Root density,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Root diameter,6,0,3,3,0,0,0,0,0,0,0,0,1,0,1,0
Root nitrogen,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2
Root-to-shoot ratio,5,1,3,1,0,0,0,0,2,0,0,2,1,0,0,1
Specific root length,5,2,2,1,2,1,0,1,0,0,0,0,2,2,0,0
Root tissue density,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Root surface area,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen use efficiency,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
